Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.84     0.00      207     0.00     0.00  camlStdlib__ephemeron__set_key_1502381
  0.00      3.84     0.00      207     0.00     0.00  camlStdlib__map__add_201104
  0.00      3.84     0.00      207     0.00     0.00  caml_ephe_create
  0.00      3.84     0.00      207     0.00     0.00  caml_ephe_set_data
  0.00      3.84     0.00      207     0.00     0.00  caml_ephe_set_key
  0.00      3.84     0.00      199     0.00     0.00  camlDt__fun_2011798
  0.00      3.84     0.00      183     0.00     0.00  caml_final_register
  0.00      3.84     0.00      183     0.00     0.00  generic_final_register
  0.00      3.84     0.00      144     0.00     0.00  camlDt__fun_2011386
  0.00      3.84     0.00      140     0.00     0.00  caml_string_equal
  0.00      3.84     0.00      118     0.00     0.00  camlDt__fun_2011527
  0.00      3.84     0.00      118     0.00     0.00  generic_final_update
  0.00      3.84     0.00      111     0.00     0.00  caml_alloc_dummy
  0.00      3.84     0.00      111     0.00     0.00  caml_update_dummy
  0.00      3.84     0.00       95     0.00     0.00  caml_hash_mix_string
  0.00      3.84     0.00       81     0.00     0.00  camlDt__fun_2011416
  0.00      3.84     0.00       80     0.00     0.00  camlCamlinternalMod__overwrite_1065
  0.00      3.84     0.00       80     0.00     0.00  caml_alloc_small_with_my_or_given_profinfo
  0.00      3.84     0.00       65     0.00     0.00  caml_tuplify2
  0.00      3.84     0.00       60     0.00     0.00  caml_darken_all_roots_start
  0.00      3.84     0.00       60     0.00     0.00  caml_do_local_roots
  0.00      3.84     0.00       60     0.00     0.00  caml_do_roots
  0.00      3.84     0.00       60     0.00     0.00  caml_final_do_roots
  0.00      3.84     0.00       60     0.00     0.00  caml_fl_init_merge
  0.00      3.84     0.00       60     0.00     0.00  caml_request_minor_gc
  0.00      3.84     0.00       60     0.00     0.00  caml_scan_global_roots
  0.00      3.84     0.00       60     0.00     0.00  start_cycle
  0.00      3.84     0.00       59     0.00     0.00  caml_compact_heap_maybe
  0.00      3.84     0.00       59     0.00     0.00  caml_final_update_clean_phase
  0.00      3.84     0.00       59     0.00     0.00  caml_final_update_mark_phase
  0.00      3.84     0.00       59     0.00     0.00  clean_slice
  0.00      3.84     0.00       59     0.00     0.00  init_sweep_phase
  0.00      3.84     0.00       57     0.00     0.00  caml_clip_heap_chunk_wsz
  0.00      3.84     0.00       53     0.00     0.00  caml_obj_tag
  0.00      3.84     0.00       51     0.00     0.00  camlCamlinternalMod__init_mod_1069
  0.00      3.84     0.00       50     0.00     0.00  camlCamlinternalMod__fun_1641
  0.00      3.84     0.00       47     0.00     0.00  camlStdlib__list__rev_append_1036
  0.00      3.84     0.00       42     0.00     0.00  caml_obj_block
  0.00      3.84     0.00       42     0.00     0.00  caml_string_is_c_safe
  0.00      3.84     0.00       40     0.00     0.00  caml_obj_truncate
  0.00      3.84     0.00       38     0.00     0.00  caml_int64_bits_of_float_unboxed
  0.00      3.84     0.00       37     0.00     0.00  camlDt__fun_2011446
  0.00      3.84     0.00       33     0.00     0.00  caml_init_ieee_floats
  0.00      3.84     0.00       32     0.00     0.00  caml_string_compare
  0.00      3.84     0.00       29     0.00     0.00  caml_tuplify4
  0.00      3.84     0.00       26     0.00     0.00  camlDt__fun_2011558
  0.00      3.84     0.00       26     0.00     0.00  caml_alloc_custom
  0.00      3.84     0.00       24     0.00     0.00  caml_int64_compare_unboxed
  0.00      3.84     0.00       21     0.00     0.00  camlStdlib__array__fill_1105
  0.00      3.84     0.00       21     0.00     0.00  camlStdlib__array__list_length_1095
  0.00      3.84     0.00       21     0.00     0.00  camlStdlib__array__of_list_1099
  0.00      3.84     0.00       21     0.00     0.00  compare_val
  0.00      3.84     0.00       20     0.00     0.00  camlStdlib__filename__is_dir_sep_1105
  0.00      3.84     0.00       20     0.00     0.00  caml_next_frame_descriptor
  0.00      3.84     0.00       19     0.00     0.00  camlStdlib__list__fold_left_1165
  0.00      3.84     0.00       16     0.00     0.00  caml_int64_float_of_bits_unboxed
  0.00      3.84     0.00       16     0.00     0.00  caml_stat_free
  0.00      3.84     0.00       15     0.00     0.00  caml_equal
  0.00      3.84     0.00       13     0.00     0.00  caml_secure_getenv
  0.00      3.84     0.00       13     0.00     0.00  caml_stat_strdup
  0.00      3.84     0.00       13     0.00     0.00  caml_stat_strdup_noexc
  0.00      3.84     0.00       12     0.00     0.00  caml_stash_backtrace
  0.00      3.84     0.00       11     0.00     0.00  camlDt__fun_2011616
  0.00      3.84     0.00       11     0.00     0.00  camlDt__fun_2011708
  0.00      3.84     0.00       11     0.00     0.00  caml_adjust_gc_speed
  0.00      3.84     0.00       11     0.00     0.00  caml_obj_dup
  0.00      3.84     0.00       11     0.00     0.00  caml_raise
  0.00      3.84     0.00       11     0.00     0.00  caml_raise_not_found
  0.00      3.84     0.00       11     0.00     0.00  caml_sys_getenv
  0.00      3.84     0.00       10     0.00     0.00  camlStdlib__format__add_queue_1745
  0.00      3.84     0.00        9     0.00     0.00  camlStdlib__map__Make_1056
  0.00      3.84     0.00        9     0.00     0.00  camlStdlib__map__fun_603526
  0.00      3.84     0.00        9     0.00     0.00  caml_enter_blocking_section
  0.00      3.84     0.00        9     0.00     0.00  caml_leave_blocking_section
  0.00      3.84     0.00        8     0.00     0.00  camlStdlib__list__iter_1151
  0.00      3.84     0.00        8     0.00     0.00  caml_insert_global_root
  0.00      3.84     0.00        8     0.00     0.00  caml_register_global_root
  0.00      3.84     0.00        6     0.00     0.00  alloc_generic_table
  0.00      3.84     0.00        6     0.00     0.00  camlStdlib__format__format_pp_token_101844
  0.00      3.84     0.00        6     0.00     0.00  camlStdlib__format__take_queue_1755
  0.00      3.84     0.00        6     0.00     0.00  caml_register_named_value
  0.00      3.84     0.00        5     0.00     0.00  camlCamlinternalFormat__make_printf_6203017
  0.00      3.84     0.00        5     0.00     0.00  camlStdlib__bigarray__create_1242
  0.00      3.84     0.00        5     0.00     0.00  camlStdlib__buffer__create_1007
  0.00      3.84     0.00        5     0.00     0.00  camlStdlib__max_1031
  0.00      3.84     0.00        5     0.00     0.00  caml_ba_alloc
  0.00      3.84     0.00        5     0.00     0.00  caml_ba_create
  0.00      3.84     0.00        5     0.00     0.00  caml_greaterequal
  0.00      3.84     0.00        4     0.00     0.00  camlStdlib__format__advance_left_601878
  0.00      3.84     0.00        4     0.00     0.00  camlStdlib__format__advance_loop_601872
  0.00      3.84     0.00        4     0.00     0.00  camlStdlib__format__make_formatter_802180
  0.00      3.84     0.00        4     0.00     0.00  camlStdlib__format__pp_make_formatter_802167
  0.00      3.84     0.00        4     0.00     0.00  camlStdlib__format__pp_open_box_gen_701908
  0.00      3.84     0.00        4     0.00     0.00  camlStdlib__format__scan_push_701904
  0.00      3.84     0.00        4     0.00     0.00  camlStdlib__list__length_aux_1002
  0.00      3.84     0.00        4     0.00     0.00  camlStdlib__random__full_init_1058
  0.00      3.84     0.00        4     0.00     0.00  camlStdlib__random__new_state_1007
  0.00      3.84     0.00        4     0.00     0.00  caml_check_urgent_gc
  0.00      3.84     0.00        4     0.00     0.00  caml_copy_string
  0.00      3.84     0.00        4     0.00     0.00  caml_flush_partial
  0.00      3.84     0.00        4     0.00     0.00  caml_ml_flush
  0.00      3.84     0.00        4     0.00     0.00  caml_open_descriptor_in
  0.00      3.84     0.00        4     0.00     0.00  caml_stat_resize_noexc
  0.00      3.84     0.00        3     0.00     0.00  camlStdlib__at_exit_301395
  0.00      3.84     0.00        3     0.00     0.00  camlStdlib__format__clear_tag_stack_801954
  0.00      3.84     0.00        3     0.00     0.00  camlStdlib__format__pp_clear_queue_1764
  0.00      3.84     0.00        3     0.00     0.00  camlStdlib__format__pp_flush_queue_802011
  0.00      3.84     0.00        3     0.00     0.00  camlStdlib__format__pp_rinit_801952
  0.00      3.84     0.00        3     0.00     0.00  camlStdlib__fun_302295
  0.00      3.84     0.00        3     0.00     0.00  camlStdlib__hashtbl__create_inner_1702755
  0.00      3.84     0.00        3     0.00     0.00  camlStdlib__hashtbl__power_2_above_101873
  0.00      3.84     0.00        3     0.00     0.00  caml_apply5
  0.00      3.84     0.00        3     0.00     0.00  caml_enter_blocking_section_default
  0.00      3.84     0.00        3     0.00     0.00  caml_leave_blocking_section_default
  0.00      3.84     0.00        3     0.00     0.00  caml_stat_resize
  0.00      3.84     0.00        2     0.00     0.00  camlCamlinternalFormatBasics__concat_fmt_1338
  0.00      3.84     0.00        2     0.00     0.00  camlCamlinternalFormat__make_padding_6203021
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__$5e$5e_201386
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__array__to_list_1090
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__array__tolist_1092
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__callback__register_exception_1063
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__filename__find_beg_1087
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__filename__find_end_1086
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__filename__fun_2150
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__filename__generic_basename_1082
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__format__formatter_of_buffer_802188
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__format__formatter_of_out_channel_802184
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__format__fun_903020
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__format__fun_903023
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__format__output_acc_802354
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__format__output_formatting_lit_802348
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__format__pp_print_flush_802053
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__format__set_size_601900
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__input_201256
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__output_substring_201224
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__printexc__register_printer_401841
  0.00      3.84     0.00        2     0.00     0.00  camlStdlib__printf__ksprintf_1743
  0.00      3.84     0.00        2     0.00     0.00  caml_ml_input
  0.00      3.84     0.00        2     0.00     0.00  caml_ml_open_descriptor_in
  0.00      3.84     0.00        2     0.00     0.00  caml_ml_open_descriptor_out
  0.00      3.84     0.00        2     0.00     0.00  caml_ml_output
  0.00      3.84     0.00        2     0.00     0.00  caml_ml_output_bytes
  0.00      3.84     0.00        2     0.00     0.00  caml_putblock
  0.00      3.84     0.00        2     0.00     0.00  caml_read_fd
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalFormatBasics__entry
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalFormat__entry
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalFormat__fun_8706681
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalFormat__fun_8706687
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalFormat__k$27_6303047
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalFormat__open_box_of_string_6503488
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalLazy__entry
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalLazy__force_lazy_block_1062
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalMod__entry
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalMod__update_mod_1122
  0.00      3.84     0.00        1     0.00     0.00  camlCamlinternalOO__entry
  0.00      3.84     0.00        1     0.00     0.00  camlCheckPredCalls__entry
  0.00      3.84     0.00        1     0.00     0.00  camlCodeLoadStructure__entry
  0.00      3.84     0.00        1     0.00     0.00  camlCodeStructureInArg__entry
  0.00      3.84     0.00        1     0.00     0.00  camlDt__entry
  0.00      3.84     0.00        1     0.00     0.00  camlDt__fun_2011600
  0.00      3.84     0.00        1     0.00     0.00  camlDt__fun_2012182
  0.00      3.84     0.00        1     0.00     0.00  camlDt__fun_2012201
  0.00      3.84     0.00        1     0.00     0.00  camlDt__iter_1307499
  0.00      3.84     0.00        1     0.00     0.00  camlDt__iter_907924
  0.00      3.84     0.00        1     0.00     0.00  camlExecuteCode__entry
  0.00      3.84     0.00        1     0.00     0.00  camlExecuteFromFile__entry
  0.00      3.84     0.00        1     0.00     2.98  camlExecuteFromFile__runFile_1058
  0.00      3.84     0.00        1     0.00     0.00  camlFlattenInstrForPrint__entry
  0.00      3.84     0.00        1     0.00     0.00  camlGenCode__entry
  0.00      3.84     0.00        1     0.00     0.00  camlGenFunctionTable__entry
  0.00      3.84     0.00        1     0.00     0.00  camlGetDeclarations__entry
  0.00      3.84     0.00        1     0.00     0.00  camlInferVariableTypes__entry
  0.00      3.84     0.00        1     0.00     0.00  camlLexer__entry
  0.00      3.84     0.00        1     0.00     0.00  camlLinearise__entry
  0.00      3.84     0.00        1     0.00     0.00  camlListImp__entry
  0.00      3.84     0.00        1     0.00     0.00  camlLogging__entry
  0.00      3.84     0.00        1     0.00     0.00  camlLogging__logError_1760
  0.00      3.84     0.00        1     0.00     2.98  camlMain__entry
  0.00      3.84     0.00        1     0.00     0.00  camlMain__fun_203934
  0.00      3.84     0.00        1     0.00     2.98  camlMain__runfiletest_101728
  0.00      3.84     0.00        1     0.00     0.00  camlParseTree__entry
  0.00      3.84     0.00        1     0.00     0.00  camlParser__entry
  0.00      3.84     0.00        1     0.00     0.00  camlRunall__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStd_exit__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__arg__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__arrayLabels__entry
  0.00      3.84     0.00        1     0.00     0.04  camlStdlib__array__blit_1051
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__array__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__array__map_1066
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__bigarray__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__buffer__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__bytesLabels__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__bytes__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__bytes__make_1014
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__callback__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__char__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__digest__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__ephemeron__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__filename__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__flush_all_1202
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__compute_tag_802342
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__enqueue_advance_601880
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__enqueue_string_as_601887
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__fun_902997
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__fun_903037
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__fun_903228
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__fun_903479
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__kfprintf_802459
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__pp_close_box_701915
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__pp_output_string_1767
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__pp_print_newline_802052
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__format__pp_print_string_802022
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__gc__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__hashtbl__MakeSeeded_1202210
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__hashtbl__Make_1702330
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__hashtbl__entry
