Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.05     0.00       78     0.00     0.00  caml_gc_stat
  0.00      0.05     0.00       77     0.00     0.03  camlGenCode__codeArgs_204937
  0.00      0.05     0.00       76     0.00     0.00  caml_alloc_sprintf
  0.00      0.05     0.00       76     0.00     0.00  intern_resize_stack
  0.00      0.05     0.00       76     0.00     0.00  read64u
  0.00      0.05     0.00       68     0.00     0.03  camlGenFunctionTable__entry
  0.00      0.05     0.00       68     0.00     6.72  camlUnify__fun_606199
  0.00      0.05     0.00       64     0.00     0.00  camlParser___menhir_discard_1152
  0.00      0.05     0.00       64     0.00     0.00  caml_sys_chdir
  0.00      0.05     0.00       62     0.00     0.97  camlLinearise__entry
  0.00      0.05     0.00       60     0.00     0.07  camlDt__sexp_of_functionId_605084
  0.00      0.05     0.00       56     0.00     0.00  caml_sys_time_include_children_unboxed
  0.00      0.05     0.00       52     0.00     0.04  camlGenCode__fun_707936
  0.00      0.05     0.00       52     0.00     0.00  camlGenCode__fun_707947
  0.00      0.05     0.00       51     0.00     1.61  camlStdlib__bigarray__slice_left_2_1341
  0.00      0.05     0.00       50     0.00     0.00  camlStdlib__bigarray__slice_right_1_1337
  0.00      0.05     0.00       45     0.00     1.91  camlStdlib__parsing__entry
  0.00      0.05     0.00       40     0.00     0.00  camlDt__pp_functionId_605095
  0.00      0.05     0.00       40     0.00     0.00  extern_replay_trail
  0.00      0.05     0.00       37     0.00     0.00  camlStdlib__seq__filter_301026
  0.00      0.05     0.00       35     0.00     0.00  caml_ml_seek_in_64
  0.00      0.05     0.00       33     0.00     0.00  camlGenCode__entry
  0.00      0.05     0.00       33     0.00     0.00  camlGenFunctionTable__updateLastVariableUsePositionTerm_104164
  0.00      0.05     0.00       33     0.00     0.00  caml_MD5Final
  0.00      0.05     0.00       32     0.00     0.00  camlUnify__fun_605901
  0.00      0.05     0.00       31     0.00     0.00  camlGenCode__loadArgs_204959
